selection,season_id,candidate
C1-FC,2013-2014,r0.85-s0.06
C1-FC,2014-2015,r0.85-s0.09
C1-FC,2015-2016,r0.85-s0.12
C1-FC,2016-2017,r0.85-s0.12
C1-FC,2017-2018,r0.85-s0.12
C1-FC,2018-2019,r0.85-s0.12
C1-FC,2019-2020,r1.00-s0.09
C1-FC,2020-2021,r1.00-s0.09
C1-FC,2021-2022,r0.85-s0.12
C1-FC,2022-2023,r0.85-s0.12
C1-FC,2023-2024,r0.85-s0.12
C1-FC,2024-2025,r0.85-s0.12
C1-FC,2025-2026,r0.85-s0.12
C1-FC,2026-2027,r0.85-s0.12
C2-FC,2013-2014,level-s0.06-form-s0.07
C2-FC,2014-2015,level-s0.06-form-s0.07
C2-FC,2015-2016,level-s0.08-form-s0.07
C2-FC,2016-2017,level-s0.08-form-s0.07
C2-FC,2017-2018,level-s0.08-form-s0.07
C2-FC,2018-2019,level-s0.08-form-s0.07
C2-FC,2019-2020,level-s0.08-form-s0.07
C2-FC,2020-2021,level-s0.08-form-s0.07
C2-FC,2021-2022,level-s0.08-form-s0.07
C2-FC,2022-2023,level-s0.08-form-s0.07
C2-FC,2023-2024,level-s0.08-form-s0.07
C2-FC,2024-2025,level-s0.08-form-s0.07
C2-FC,2025-2026,level-s0.08-form-s0.07
C2-FC,2026-2027,level-s0.08-form-s0.07
ALL-FC,2013-2014,r0.85-s0.06
ALL-FC,2014-2015,r0.85-s0.09
ALL-FC,2015-2016,r0.85-s0.12
ALL-FC,2016-2017,r0.85-s0.12
ALL-FC,2017-2018,r0.85-s0.12
ALL-FC,2018-2019,r0.85-s0.12
ALL-FC,2019-2020,r1.00-s0.09
ALL-FC,2020-2021,r1.00-s0.09
ALL-FC,2021-2022,r0.85-s0.12
ALL-FC,2022-2023,level-s0.08-form-s0.07
ALL-FC,2023-2024,level-s0.08-form-s0.07
ALL-FC,2024-2025,level-s0.08-form-s0.07
ALL-FC,2025-2026,level-s0.08-form-s0.07
ALL-FC,2026-2027,level-s0.08-form-s0.07
