competition_id,cutoff,entrant_match,matches,probability,score_log_probability,quality
eng-championship,first match day,True,4,1.3877787807814457e-16,2.6645352591003757e-15,9.71445146547012e-17
eng-championship,midseason,False,1,1.6653345369377348e-16,8.881784197001252e-16,1.6653345369377348e-16
eng-league-one,first match day,False,7,2.220446049250313e-16,3.552713678800501e-15,1.8041124150158794e-16
eng-league-one,first match day,True,7,4.440892098500626e-16,3.552713678800501e-15,9.8879238130678e-17
eng-league-one,midseason,False,2,2.220446049250313e-16,1.7763568394002505e-15,3.0531133177191805e-16
eng-league-one,midseason,True,2,1.1102230246251565e-16,8.881784197001252e-16,1.5265566588595902e-16
eng-league-two,first match day,False,12,3.3306690738754696e-16,1.7763568394002505e-15,1.8388068845354155e-16
eng-league-two,first match day,True,13,3.3306690738754696e-16,4.440892098500626e-15,1.8041124150158794e-16
eng-league-two,midseason,False,2,1.1102230246251565e-16,8.881784197001252e-16,2.220446049250313e-16
eng-premier-league,first match day,False,2,1.1102230246251565e-16,4.440892098500626e-16,1.6653345369377348e-16
eng-premier-league,first match day,True,1,1.249000902703301e-16,1.3322676295501878e-15,6.106226635438361e-16
eng-premier-league,midseason,False,4,2.220446049250313e-16,4.440892098500626e-15,6.106226635438361e-16
eng-premier-league,midseason,True,3,3.3306690738754696e-16,8.881784197001252e-16,2.7755575615628914e-16
