competition_id,candidate,matches,count,referenced_minus_filter_log_loss,referenced_minus_filter_score_nll,mean_entrant_win_change,mean_absolute_entrant_win_change
eng-championship,M10,1-5,330,0.00343,0.00231,0.00221,0.01148
eng-championship,M10,6-10,330,-0.00020,-0.00016,0.00223,0.01149
eng-championship,M7,1-5,330,0.00266,0.00191,0.00108,0.00852
eng-championship,M7,6-10,330,0.00018,0.00021,0.00110,0.00853
eng-league-one,M10,1-5,350,-0.00408,-0.00314,0.02299,0.02548
eng-league-one,M10,6-10,350,0.00177,-0.00121,0.02288,0.02532
eng-league-one,M7,1-5,350,-0.00276,-0.00180,0.02225,0.02381
eng-league-one,M7,6-10,350,0.00116,-0.00137,0.02217,0.02371
eng-league-two,M10,1-5,315,-0.01088,-0.01227,-0.03246,0.03246
eng-league-two,M10,6-10,315,-0.00668,-0.00713,-0.03230,0.03230
eng-league-two,M7,1-5,315,-0.00859,-0.00925,-0.02615,0.02615
eng-league-two,M7,6-10,315,-0.00508,-0.00541,-0.02601,0.02601
eng-premier-league,M10,1-5,165,-0.00070,-0.00182,0.02402,0.02402
eng-premier-league,M10,6-10,165,0.01037,0.01301,0.02398,0.02398
eng-premier-league,M7,1-5,165,-0.00045,-0.00050,0.01572,0.01572
eng-premier-league,M7,6-10,165,0.00736,0.00980,0.01578,0.01578
