competition_id,candidate,phase,common_mean,common_sd,reference_offset,club_quality_variance,frame_variance,entrant_quality_variance,common_sd_2026_27,reference_offset_2026_27
eng-championship,M10,midseason,0.00603,0.03705,0.00603,0.01036,0.00142,,,
eng-championship,M10,preseason,-0.00199,0.04259,0.00461,0.01285,0.00187,0.02536,0.03688,-0.00954
eng-championship,M7,midseason,0.00254,0.02921,0.00254,0.00782,0.00088,,,
eng-championship,M7,preseason,-0.00297,0.03315,0.00362,0.00895,0.00112,0.01998,0.02943,-0.00102
eng-league-one,M10,midseason,0.02167,0.03715,0.02167,0.01166,0.00141,,,
eng-league-one,M10,preseason,0.02217,0.04274,0.03266,0.01386,0.00187,0.03277,0.03840,0.07891
eng-league-one,M7,midseason,0.02172,0.02961,0.02172,0.00886,0.00089,,,
eng-league-one,M7,preseason,0.02100,0.03359,0.03149,0.00970,0.00115,0.02738,0.03104,0.06116
eng-league-two,M10,midseason,-0.03890,0.03796,-0.03890,0.01169,0.00148,,,
eng-league-two,M10,preseason,-0.05198,0.04324,-0.05247,0.01387,0.00192,0.03133,0.03730,-0.05226
eng-league-two,M7,midseason,-0.03114,0.02990,-0.03114,0.00880,0.00091,,,
eng-league-two,M7,preseason,-0.04156,0.03362,-0.04205,0.00969,0.00115,0.02595,0.02995,-0.03736
eng-premier-league,M10,midseason,0.04481,0.04219,0.04481,0.00840,0.00184,,,
eng-premier-league,M10,preseason,0.08568,0.04704,0.05563,0.01139,0.00229,0.02022,0.04332,0.04748
eng-premier-league,M7,midseason,0.02958,0.03212,0.02958,0.00613,0.00106,,,
eng-premier-league,M7,preseason,0.06574,0.03542,0.03570,0.00767,0.00129,0.01483,0.03306,0.02678
