competition_id,origin,club_seasons,rank_rps_m10,rank_rps_difference,rank_rps_low,rank_rps_high,points_crps_m10,points_crps_difference,points_crps_low,points_crps_high,coverage_90_m10,width_90_m10,coverage_90_e1,width_90_e1
eng-premier-league,preseason,220,0.10538,0.00011,-0.00041,0.00059,6.38772,0.02826,0.00142,0.05581,0.85000,33.45909,0.85000,33.06364
eng-premier-league,MW6,220,0.09139,0.00049,-0.00016,0.00117,5.35929,0.03372,-0.00493,0.07203,0.88182,28.49545,0.87273,28.36818
eng-premier-league,MW12,220,0.07696,0.00043,-0.00007,0.00093,4.48419,0.03327,0.00213,0.06204,0.88182,24.20909,0.88182,24.16818
eng-premier-league,MW19,220,0.05836,0.00015,-0.00012,0.00044,3.33281,0.01388,0.00144,0.02467,0.90455,19.53182,0.90455,19.52273
eng-premier-league,MW30,220,0.04133,0.00005,-0.00005,0.00015,2.14367,0.00946,0.00479,0.01477,0.92727,11.85000,0.92273,11.82273
eng-championship,preseason,264,0.14508,-0.00035,-0.00098,0.00029,7.48916,-0.00158,-0.02865,0.02819,0.87500,42.30682,0.87500,41.21970
eng-championship,MW6,264,0.13019,0.00014,-0.00043,0.00083,6.79969,0.01692,-0.00693,0.04559,0.88636,36.54924,0.87879,35.95455
eng-championship,MW12,264,0.11421,-0.00010,-0.00052,0.00034,5.88890,0.00839,-0.00717,0.02301,0.89015,31.57197,0.88258,31.28409
eng-championship,MW19,264,0.09610,0.00003,-0.00041,0.00042,4.83956,0.00493,-0.02259,0.02800,0.91667,26.45076,0.90530,26.25000
eng-championship,MW30,264,0.06159,-0.00002,-0.00032,0.00030,3.24500,-0.00367,-0.01925,0.01340,0.89773,18.31061,0.90152,18.24242
eng-league-one,preseason,216,0.15145,0.00011,-0.00068,0.00088,8.41231,0.02002,-0.01368,0.05490,0.87037,44.00926,0.86574,42.77315
eng-league-one,MW6,216,0.12484,0.00025,-0.00062,0.00121,6.99607,0.04663,-0.00220,0.10256,0.87963,37.46296,0.88426,36.86111
eng-league-one,MW12,216,0.10819,-0.00002,-0.00065,0.00060,6.14475,0.02151,-0.01658,0.06197,0.86574,32.45833,0.86111,32.07407
eng-league-one,MW19,216,0.09082,0.00008,-0.00062,0.00072,5.03575,0.03267,-0.00757,0.07458,0.88889,27.02778,0.88889,26.80093
eng-league-one,MW30,216,0.06241,-0.00000,-0.00012,0.00013,3.38798,0.01479,0.00392,0.02703,0.89815,18.75463,0.86574,18.71759
eng-league-two,preseason,216,0.16168,0.00023,-0.00048,0.00085,7.55921,0.01971,-0.00538,0.04192,0.90741,43.15741,0.89815,42.09259
eng-league-two,MW6,216,0.13523,0.00043,-0.00021,0.00111,6.40254,0.03070,-0.00089,0.06579,0.90741,37.18056,0.90278,36.67130
eng-league-two,MW12,216,0.10909,0.00052,0.00010,0.00097,5.19912,0.02871,0.00710,0.05460,0.92593,32.36574,0.92130,32.00926
eng-league-two,MW19,216,0.09428,0.00021,-0.00015,0.00060,4.56692,0.01820,0.00122,0.03502,0.90741,27.20833,0.91204,27.04167
eng-league-two,MW30,216,0.06797,0.00011,-0.00013,0.00036,3.38443,-0.00172,-0.01452,0.00836,0.90278,18.67130,0.90278,18.64815
