competition_id,origin,entry_cohort,club_seasons,points_bias_m10,points_bias_e1,coverage_90_m10,coverage_90_e1,width_90_m10,width_90_e1,rank_rps_difference,points_crps_difference
eng-premier-league,preseason,incumbent,187,-0.1702,-0.2134,0.8610,0.8717,33.2567,33.2781,-0.0000,0.0040
eng-premier-league,preseason,promoted_from_below,33,2.7842,2.9878,0.7879,0.7273,34.6061,31.8485,0.0009,0.1658
eng-premier-league,MW6,incumbent,187,-0.1947,-0.2148,0.8717,0.8717,28.6043,28.6257,-0.0001,-0.0023
eng-premier-league,MW6,promoted_from_below,33,2.4508,2.5392,0.9394,0.8788,27.8788,26.9091,0.0036,0.2378
eng-premier-league,MW12,incumbent,187,0.0023,-0.0232,0.8770,0.8770,24.3957,24.4118,0.0001,0.0032
eng-premier-league,MW12,promoted_from_below,33,1.0829,1.1944,0.9091,0.9091,23.1515,22.7879,0.0025,0.2036
eng-premier-league,MW19,incumbent,187,-0.1732,-0.1808,0.9091,0.9091,19.6845,19.6952,0.0000,0.0014
eng-premier-league,MW19,promoted_from_below,33,1.5678,1.5935,0.8788,0.8788,18.6667,18.5455,0.0009,0.0847
eng-premier-league,MW30,incumbent,187,-0.1793,-0.1806,0.9358,0.9305,11.9519,11.9358,-0.0000,0.0036
eng-premier-league,MW30,promoted_from_below,33,0.8807,0.8869,0.8788,0.8788,11.2727,11.1818,0.0004,0.0427
eng-championship,preseason,incumbent,198,0.8523,0.8718,0.8737,0.8737,41.0101,40.8182,-0.0000,-0.0043
eng-championship,preseason,promoted_from_below,33,2.9409,2.7577,0.9394,0.9394,44.9394,41.2121,-0.0019,-0.0853
eng-championship,preseason,relegated_from_above,33,-2.7944,-2.8705,0.8182,0.8182,47.4545,43.6364,-0.0008,0.0986
eng-championship,MW6,incumbent,198,0.8165,0.8110,0.8889,0.8838,35.9848,35.8434,0.0003,0.0000
eng-championship,MW6,promoted_from_below,33,2.3570,2.3220,0.9394,0.9394,37.7273,35.6970,-0.0022,-0.0566
eng-championship,MW6,relegated_from_above,33,-2.8977,-2.9670,0.8182,0.7879,38.7576,36.8788,0.0015,0.1920
eng-championship,MW12,incumbent,198,0.6729,0.6775,0.8939,0.8939,31.3232,31.2525,-0.0002,-0.0113
eng-championship,MW12,promoted_from_below,33,0.8428,0.9000,0.9394,0.9091,31.7879,30.6364,-0.0011,-0.0452
eng-championship,MW12,relegated_from_above,33,-2.1636,-2.3198,0.8182,0.7879,32.8485,32.1212,0.0018,0.1804
eng-championship,MW19,incumbent,198,0.6087,0.5998,0.9192,0.9141,26.3485,26.2677,0.0000,-0.0072
eng-championship,MW19,promoted_from_below,33,-0.2223,-0.1170,0.9697,0.9697,26.3636,25.7879,-0.0007,-0.0309
eng-championship,MW19,relegated_from_above,33,-1.0212,-1.1555,0.8485,0.7879,27.1515,26.6061,0.0009,0.1135
eng-championship,MW30,incumbent,198,0.6485,0.6432,0.8990,0.9040,18.3081,18.2828,-0.0000,-0.0052
eng-championship,MW30,promoted_from_below,33,-0.8126,-0.7707,0.9091,0.9091,18.1818,17.8788,-0.0005,-0.0334
eng-championship,MW30,relegated_from_above,33,-0.8301,-0.8813,0.8788,0.8788,18.4545,18.3636,0.0004,0.0352
eng-league-one,preseason,incumbent,153,2.1082,2.0555,0.8627,0.8627,41.8562,41.6405,0.0005,0.0211
eng-league-one,preseason,promoted_from_below,36,-0.3861,-0.3421,0.8611,0.8611,45.1111,41.0833,-0.0002,0.0204
eng-league-one,preseason,relegated_from_above,27,-9.2116,-9.2133,0.9259,0.8889,54.7407,51.4444,-0.0019,0.0134
eng-league-one,MW6,incumbent,153,1.5036,1.5199,0.8758,0.8824,36.4444,36.3595,0.0003,0.0230
eng-league-one,MW6,promoted_from_below,36,-0.0823,-0.1031,0.8611,0.8611,37.6944,35.5278,0.0016,0.1553
eng-league-one,MW6,relegated_from_above,27,-6.5786,-6.7738,0.9259,0.9259,42.9259,41.4815,-0.0020,0.0358
eng-league-one,MW12,incumbent,153,1.1964,1.2271,0.8693,0.8627,31.9020,31.8235,-0.0000,-0.0015
eng-league-one,MW12,promoted_from_below,36,0.9146,0.8347,0.8056,0.8056,32.3889,30.9722,0.0003,0.0579
eng-league-one,MW12,relegated_from_above,27,-5.8332,-6.0210,0.9259,0.9259,35.7037,34.9630,-0.0005,0.1034
eng-league-one,MW19,incumbent,153,0.8246,0.8558,0.9020,0.9020,26.8039,26.6863,0.0000,0.0048
eng-league-one,MW19,promoted_from_below,36,0.9416,0.8785,0.8333,0.8333,26.8056,26.1667,0.0008,0.1414
eng-league-one,MW19,relegated_from_above,27,-4.0128,-4.1862,0.8889,0.8889,28.5926,28.2963,-0.0007,0.0458
eng-league-one,MW30,incumbent,153,0.3654,0.3839,0.8758,0.8562,18.6732,18.6405,0.0000,0.0016
eng-league-one,MW30,promoted_from_below,36,0.4632,0.4554,0.9722,0.8889,18.6389,18.4444,-0.0001,0.0618
eng-league-one,MW30,relegated_from_above,27,-1.0912,-1.2215,0.9259,0.8889,19.3704,19.5185,-0.0001,0.0269
eng-league-two,preseason,incumbent,162,-0.5911,-0.5042,0.9012,0.8889,41.6790,41.5000,0.0002,0.0199
eng-league-two,preseason,promoted_from_outside,18,-0.2886,-0.6727,0.8889,0.8889,47.5556,44.0556,0.0000,-0.0013
eng-league-two,preseason,relegated_from_above,36,4.2989,3.9640,0.9444,0.9444,47.6111,43.7778,0.0005,0.0292
eng-league-two,MW6,incumbent,162,0.1836,0.1502,0.8951,0.8951,36.4321,36.4444,-0.0000,0.0028
eng-league-two,MW6,promoted_from_outside,18,-2.7292,-2.7313,0.8889,0.8333,39.3333,37.0556,0.0015,0.0571
eng-league-two,MW6,relegated_from_above,36,2.0315,2.0621,0.9722,0.9722,39.4722,37.5000,0.0019,0.1431
eng-league-two,MW12,incumbent,162,0.4655,0.4276,0.9136,0.9136,31.9938,31.9074,0.0002,0.0121
eng-league-two,MW12,promoted_from_outside,18,-1.8812,-1.9041,0.9444,0.8889,33.2778,32.2778,0.0015,0.0274
eng-league-two,MW12,relegated_from_above,36,0.2997,0.3991,0.9722,0.9722,33.5833,32.3333,0.0014,0.1041
eng-league-two,MW19,incumbent,162,0.4248,0.3974,0.9074,0.9136,27.0000,26.9630,-0.0001,0.0046
eng-league-two,MW19,promoted_from_outside,18,-3.1533,-3.1656,0.8889,0.8889,27.9444,27.1111,0.0028,0.1357
eng-league-two,MW19,relegated_from_above,36,0.5578,0.6357,0.9167,0.9167,27.7778,27.3611,0.0005,0.0208
eng-league-two,MW30,incumbent,162,0.5269,0.5204,0.9012,0.9012,18.5494,18.5988,-0.0001,-0.0040
eng-league-two,MW30,promoted_from_outside,18,-2.7695,-2.8037,0.9444,0.9444,19.2778,18.8333,0.0013,0.0740
eng-league-two,MW30,relegated_from_above,36,0.0114,0.0357,0.8889,0.8889,18.9167,18.7778,0.0003,-0.0293
