candidate,competition_id,season_id,hindcast_minus_control_hda_log_loss,hindcast_minus_control_brier,hindcast_minus_control_score_nll
M10,eng-championship,2020-2021,-0.000158,-0.000222,-0.000098
M10,eng-championship,2021-2022,-0.000009,-0.000037,0.000031
M10,eng-championship,2022-2023,-0.001318,-0.000947,-0.001858
M10,eng-championship,2023-2024,-0.000683,-0.000296,-0.000466
M10,eng-championship,2024-2025,-0.001231,-0.000818,-0.001617
M10,eng-championship,2025-2026,-0.001325,-0.000834,-0.003860
M10,eng-premier-league,2020-2021,-0.000016,-0.000064,-0.000091
M10,eng-premier-league,2021-2022,-0.000903,-0.000469,-0.001256
M10,eng-premier-league,2022-2023,-0.001543,-0.001186,-0.001690
M10,eng-premier-league,2023-2024,-0.003602,-0.002030,-0.003420
M10,eng-premier-league,2024-2025,-0.003367,-0.002168,-0.001026
M10,eng-premier-league,2025-2026,0.000428,0.000589,0.000768
M7,eng-championship,2020-2021,-0.000271,-0.000274,-0.000273
M7,eng-championship,2021-2022,-0.000171,-0.000138,-0.000226
M7,eng-championship,2022-2023,-0.001537,-0.001086,-0.002187
M7,eng-championship,2023-2024,-0.000870,-0.000453,-0.000712
M7,eng-championship,2024-2025,-0.001399,-0.000948,-0.001835
M7,eng-championship,2025-2026,-0.001559,-0.001025,-0.004245
M7,eng-premier-league,2020-2021,-0.000140,-0.000124,-0.000282
M7,eng-premier-league,2021-2022,-0.001054,-0.000593,-0.001506
M7,eng-premier-league,2022-2023,-0.001637,-0.001245,-0.001888
M7,eng-premier-league,2023-2024,-0.003910,-0.002294,-0.004035
M7,eng-premier-league,2024-2025,-0.003600,-0.002367,-0.001555
M7,eng-premier-league,2025-2026,0.000294,0.000496,0.000570
