candidate,scope,matches,hindcast_minus_control_hda_log_loss,hindcast_minus_control_brier,hindcast_minus_control_score_nll,frozen_minus_control_hda_log_loss,frozen_minus_control_brier,frozen_minus_control_score_nll,oracle_minus_control_hda_log_loss,oracle_minus_control_brier,oracle_minus_control_score_nll
M7,All,5450,-0.001263,-0.000807,-0.001524,-0.001253,-0.000801,-0.001513,-0.002659,-0.001816,-0.003653
M7,Premier League,2280,-0.001674,-0.001021,-0.001449,-0.001683,-0.001022,-0.001477,-0.004725,-0.003204,-0.004969
M7,Championship,3170,-0.000967,-0.000654,-0.001578,-0.000944,-0.000642,-0.001538,-0.001173,-0.000818,-0.002706
M7,Opening five matches,577,-0.000484,-0.000156,-0.001163,0.000197,0.000294,-0.000722,-0.000995,-0.000456,-0.001260
M7,After the opening five,4873,-0.001356,-0.000885,-0.001567,-0.001425,-0.000931,-0.001606,-0.002856,-0.001977,-0.003936
M7,2025/26,907,-0.000782,-0.000388,-0.002228,-0.000783,-0.000391,-0.002216,-0.001552,-0.000770,-0.002614
M7,Realized absolute D difference at least 0.20,403,-0.010249,-0.007408,-0.016773,-0.010761,-0.007791,-0.018035,-0.020469,-0.014846,-0.033316
M10,All,5450,-0.001086,-0.000677,-0.001230,-0.001061,-0.000663,-0.001195,-0.002425,-0.001641,-0.003212
M10,Premier League,2280,-0.001500,-0.000888,-0.001119,-0.001496,-0.000881,-0.001124,-0.004517,-0.003024,-0.004500
M10,Championship,3170,-0.000787,-0.000525,-0.001310,-0.000749,-0.000506,-0.001246,-0.000920,-0.000646,-0.002286
M10,Opening five matches,577,-0.000250,0.000034,-0.000694,0.000441,0.000485,-0.000228,-0.000849,-0.000301,-0.000861
M10,After the opening five,4873,-0.001185,-0.000761,-0.001294,-0.001239,-0.000799,-0.001310,-0.002611,-0.001800,-0.003491
M10,2025/26,907,-0.000591,-0.000238,-0.001921,-0.000593,-0.000242,-0.001912,-0.001345,-0.000596,-0.002257
M10,Realized absolute D difference at least 0.20,403,-0.009607,-0.006888,-0.015590,-0.010076,-0.007244,-0.016755,-0.019223,-0.013913,-0.030857
