comparison,period,scope,matches,log_loss,log_loss_low,log_loss_high,score_nll,score_nll_low,score_nll_high,brier
M10 minus M7,test,All,22132,-0.001066,-0.001486,-0.000638,-0.000761,-0.001284,-0.000248,-0.000702
M10 minus M7,test,PL,4180,-0.002681,-0.003613,-0.001785,-0.002670,-0.004075,-0.001322,-0.001720
M10 minus M7,test,Ch,6072,-0.000644,-0.001351,0.000123,-0.000387,-0.001184,0.000495,-0.000456
M10 minus M7,test,L1,5920,-0.001247,-0.001999,-0.000472,-0.000742,-0.001702,0.000250,-0.000829
M10 minus M7,test,L2,5960,-0.000185,-0.000936,0.000558,0.000180,-0.000667,0.000978,-0.000112
M10 minus M7,test,EFL,17952,-0.000691,-0.001152,-0.000209,-0.000316,-0.000846,0.000251,-0.000465
M10 minus M7,test,Entrant matches,9189,-0.000875,-0.001499,-0.000239,-0.000433,-0.001156,0.000321,-0.000549
M10 minus M7,test,Continuing matches,12943,-0.001202,-0.001744,-0.000677,-0.000993,-0.001652,-0.000366,-0.000810
M10 minus M7,test,Club match 1-5,2554,0.000218,-0.000548,0.000820,0.001257,-0.000000,0.002157,0.000130
M10 minus M7,test,PL club match 1-5,553,-0.004564,-0.006241,-0.003033,-0.003877,-0.006479,-0.001712,-0.003218
M10 minus M7,test,EFL club match 1-5,2001,0.001539,0.000809,0.002302,0.002676,0.002062,0.003189,0.001056
M10 minus M7,test,Club match 6-10,2555,-0.001286,-0.002661,-0.000064,-0.001436,-0.003212,0.000024,-0.000872
M10 minus M7,test,PL club match 6-10,552,-0.004005,-0.006319,-0.001528,-0.006281,-0.008619,-0.004053,-0.002672
M10 minus M7,test,EFL club match 6-10,2003,-0.000537,-0.001641,0.000376,-0.000101,-0.001222,0.000840,-0.000376
M10 minus M7,test,Club match 11-20,5099,-0.000658,-0.001597,0.000209,-0.000107,-0.001073,0.000815,-0.000419
M10 minus M7,test,PL club match 11-20,1112,-0.001452,-0.003310,0.000208,-0.000020,-0.002106,0.001992,-0.000935
M10 minus M7,test,EFL club match 11-20,3987,-0.000437,-0.001403,0.000431,-0.000131,-0.001263,0.000896,-0.000275
M10 minus M7,test,Club match 21-99,11924,-0.001469,-0.001927,-0.000976,-0.001327,-0.001976,-0.000685,-0.000965
M10 minus M7,test,PL club match 21-99,1963,-0.002474,-0.003885,-0.001072,-0.002816,-0.004607,-0.000924,-0.001476
M10 minus M7,test,EFL club match 21-99,9961,-0.001271,-0.001738,-0.000757,-0.001034,-0.001603,-0.000415,-0.000864
M10 minus M7,test,"Entrant matches, club match 1-5",1067,0.000624,-0.000812,0.001794,0.001539,-0.000353,0.002911,0.000469
M10 minus M7,test,"Entrant matches, club match 1-10",2096,0.000104,-0.001060,0.001162,0.000611,-0.000708,0.001772,0.000158
M10 minus M7,2026/27,All,266,0.002301,,,0.003871,,,0.001995
M10 minus M7,2026/27,PL,40,-0.004138,,,-0.001070,,,-0.001998
M10 minus M7,2026/27,Ch,83,-0.001097,,,0.001546,,,-0.000721
M10 minus M7,2026/27,L1,71,0.006432,,,0.006038,,,0.004694
M10 minus M7,2026/27,L2,72,0.005720,,,0.007157,,,0.004684
M10 minus M7,2026/27,EFL,226,0.003440,,,0.004745,,,0.002702
M10 minus M7,2026/27,Entrant matches,115,0.002808,,,0.004268,,,0.002247
M10 minus M7,2026/27,Continuing matches,151,0.001914,,,0.003568,,,0.001804
M10 minus M7,2026/27,Club match 1-5,221,0.002596,,,0.004126,,,0.002241
M10 minus M7,2026/27,PL club match 1-5,40,-0.004138,,,-0.001070,,,-0.001998
M10 minus M7,2026/27,EFL club match 1-5,181,0.004084,,,0.005274,,,0.003178
M10 minus M7,2026/27,Club match 6-10,45,0.000849,,,0.002618,,,0.000786
M10 minus M7,2026/27,EFL club match 6-10,45,0.000849,,,0.002618,,,0.000786
M10 minus M7,2026/27,"Entrant matches, club match 1-5",96,0.002518,,,0.004802,,,0.002065
M10 minus M7,2026/27,"Entrant matches, club match 1-10",115,0.002808,,,0.004268,,,0.002247
E1 minus M10,test,All,22132,0.000174,-0.000005,0.000355,0.000104,-0.000079,0.000284,0.000116
E1 minus M10,test,PL,4180,0.000280,0.000003,0.000574,0.000266,-0.000094,0.000635,0.000216
E1 minus M10,test,Ch,6072,0.000074,-0.000252,0.000391,0.000110,-0.000296,0.000524,0.000051
E1 minus M10,test,L1,5920,0.000287,-0.000041,0.000618,0.000088,-0.000257,0.000457,0.000182
E1 minus M10,test,L2,5960,0.000088,-0.000267,0.000443,-0.000001,-0.000356,0.000370,0.000047
E1 minus M10,test,EFL,17952,0.000149,-0.000071,0.000363,0.000066,-0.000150,0.000278,0.000093
E1 minus M10,test,Entrant matches,9189,0.000364,-0.000056,0.000779,0.000209,-0.000235,0.000634,0.000255
