competition_id,season_id,d_log_loss,d_score_nll,comparison
eng-championship,2015-2016,-0.000536,-0.000012,M10 minus M7
eng-championship,2016-2017,-0.001024,0.000537,M10 minus M7
eng-championship,2017-2018,-0.002270,-0.001853,M10 minus M7
eng-championship,2018-2019,-0.001514,0.000845,M10 minus M7
eng-championship,2019-2020,0.000568,-0.000063,M10 minus M7
eng-championship,2020-2021,0.000473,0.000473,M10 minus M7
eng-championship,2021-2022,-0.000977,-0.002253,M10 minus M7
eng-championship,2022-2023,0.000775,0.000529,M10 minus M7
eng-championship,2023-2024,-0.000998,-0.000467,M10 minus M7
eng-championship,2024-2025,-0.000259,-0.000603,M10 minus M7
eng-championship,2025-2026,-0.001322,-0.001389,M10 minus M7
eng-league-one,2015-2016,-0.000298,0.000367,M10 minus M7
eng-league-one,2016-2017,-0.001527,-0.001046,M10 minus M7
eng-league-one,2017-2018,-0.000034,0.000972,M10 minus M7
eng-league-one,2018-2019,-0.002334,-0.001874,M10 minus M7
eng-league-one,2019-2020,-0.000917,-0.001580,M10 minus M7
eng-league-one,2020-2021,0.002237,0.003489,M10 minus M7
eng-league-one,2021-2022,-0.003901,-0.003649,M10 minus M7
eng-league-one,2022-2023,-0.002366,-0.003884,M10 minus M7
eng-league-one,2023-2024,-0.001934,-0.001830,M10 minus M7
eng-league-one,2024-2025,-0.002049,0.000105,M10 minus M7
eng-league-one,2025-2026,-0.000508,0.000533,M10 minus M7
eng-league-two,2015-2016,-0.002707,-0.002451,M10 minus M7
eng-league-two,2016-2017,0.000437,0.000464,M10 minus M7
eng-league-two,2017-2018,0.000048,0.001324,M10 minus M7
eng-league-two,2018-2019,0.001058,0.000546,M10 minus M7
eng-league-two,2019-2020,-0.000303,0.000569,M10 minus M7
eng-league-two,2020-2021,0.002795,0.002740,M10 minus M7
eng-league-two,2021-2022,-0.001696,-0.001800,M10 minus M7
eng-league-two,2022-2023,-0.000013,0.001352,M10 minus M7
eng-league-two,2023-2024,0.000655,0.000741,M10 minus M7
eng-league-two,2024-2025,0.000772,0.000948,M10 minus M7
eng-league-two,2025-2026,-0.003107,-0.002378,M10 minus M7
eng-premier-league,2015-2016,-0.000899,-0.001312,M10 minus M7
eng-premier-league,2016-2017,-0.005448,-0.006790,M10 minus M7
eng-premier-league,2017-2018,-0.002541,-0.003737,M10 minus M7
eng-premier-league,2018-2019,-0.006062,-0.004556,M10 minus M7
eng-premier-league,2019-2020,-0.000483,-0.001429,M10 minus M7
eng-premier-league,2020-2021,-0.001384,-0.001673,M10 minus M7
eng-premier-league,2021-2022,-0.004049,-0.007450,M10 minus M7
eng-premier-league,2022-2023,-0.001588,0.000290,M10 minus M7
eng-premier-league,2023-2024,-0.004196,-0.003691,M10 minus M7
eng-premier-league,2024-2025,-0.001906,0.000530,M10 minus M7
eng-premier-league,2025-2026,-0.000931,0.000446,M10 minus M7
eng-championship,2015-2016,-0.000340,-0.000490,E1 minus M10
eng-championship,2016-2017,-0.000242,-0.000462,E1 minus M10
eng-championship,2017-2018,0.001098,0.000851,E1 minus M10
eng-championship,2018-2019,-0.000451,-0.000653,E1 minus M10
eng-championship,2019-2020,-0.000408,-0.000304,E1 minus M10
eng-championship,2020-2021,0.000191,0.000424,E1 minus M10
eng-championship,2021-2022,-0.000335,0.000879,E1 minus M10
eng-championship,2022-2023,-0.000001,-0.000207,E1 minus M10
eng-championship,2023-2024,0.001296,0.000683,E1 minus M10
eng-championship,2024-2025,0.000568,0.001178,E1 minus M10
eng-championship,2025-2026,-0.000558,-0.000686,E1 minus M10
eng-league-one,2015-2016,-0.000051,-0.000465,E1 minus M10
eng-league-one,2016-2017,-0.000726,-0.001122,E1 minus M10
eng-league-one,2017-2018,-0.000467,-0.000336,E1 minus M10
eng-league-one,2018-2019,0.001246,0.001250,E1 minus M10
eng-league-one,2019-2020,-0.000298,0.000318,E1 minus M10
eng-league-one,2020-2021,-0.000439,-0.000552,E1 minus M10
eng-league-one,2021-2022,-0.000391,-0.000371,E1 minus M10
eng-league-one,2022-2023,0.001119,0.001673,E1 minus M10
eng-league-one,2023-2024,0.000478,-0.000034,E1 minus M10
eng-league-one,2024-2025,0.001979,0.000974,E1 minus M10
eng-league-one,2025-2026,0.000552,-0.000302,E1 minus M10
eng-league-two,2015-2016,0.000121,0.000103,E1 minus M10
eng-league-two,2016-2017,0.000086,0.000291,E1 minus M10
eng-league-two,2017-2018,0.000548,-0.000093,E1 minus M10
eng-league-two,2018-2019,0.000295,0.000327,E1 minus M10
eng-league-two,2019-2020,-0.000277,-0.000901,E1 minus M10
eng-league-two,2020-2021,-0.000147,-0.000185,E1 minus M10
eng-league-two,2021-2022,0.000083,0.000014,E1 minus M10
eng-league-two,2022-2023,0.000189,-0.000012,E1 minus M10
eng-league-two,2023-2024,-0.000468,-0.000280,E1 minus M10
eng-league-two,2024-2025,-0.000310,-0.000329,E1 minus M10
eng-league-two,2025-2026,0.000769,0.000869,E1 minus M10
eng-premier-league,2015-2016,0.000242,0.000161,E1 minus M10
eng-premier-league,2016-2017,-0.000412,-0.000409,E1 minus M10
eng-premier-league,2017-2018,-0.000116,-0.000281,E1 minus M10
eng-premier-league,2018-2019,0.001053,0.000892,E1 minus M10
eng-premier-league,2019-2020,0.000700,0.000483,E1 minus M10
eng-premier-league,2020-2021,0.000136,0.000539,E1 minus M10
eng-premier-league,2021-2022,-0.000306,-0.000111,E1 minus M10
eng-premier-league,2022-2023,-0.000254,0.000120,E1 minus M10
eng-premier-league,2023-2024,0.000839,0.000738,E1 minus M10
eng-premier-league,2024-2025,0.000460,0.000484,E1 minus M10
eng-premier-league,2025-2026,0.000734,0.000315,E1 minus M10
eng-championship,2015-2016,0.000128,0.001101,S1 minus M10
eng-championship,2016-2017,-0.001515,0.000871,S1 minus M10
eng-championship,2017-2018,-0.001016,-0.000650,S1 minus M10
eng-championship,2018-2019,-0.000408,0.000792,S1 minus M10
eng-championship,2019-2020,-0.000269,0.000529,S1 minus M10
eng-championship,2020-2021,0.001203,0.002079,S1 minus M10
eng-championship,2021-2022,-0.000444,0.000109,S1 minus M10
eng-championship,2022-2023,0.001261,0.002221,S1 minus M10
eng-championship,2023-2024,0.001106,0.001120,S1 minus M10
eng-championship,2024-2025,0.001336,0.001547,S1 minus M10
eng-championship,2025-2026,-0.001761,-0.001481,S1 minus M10
eng-league-one,2015-2016,0.000278,0.001009,S1 minus M10
eng-league-one,2016-2017,-0.000317,0.000421,S1 minus M10
eng-league-one,2017-2018,0.000419,0.001782,S1 minus M10
eng-league-one,2018-2019,-0.000552,-0.000062,S1 minus M10
eng-league-one,2019-2020,-0.001513,-0.000314,S1 minus M10
eng-league-one,2020-2021,0.001195,0.002448,S1 minus M10
eng-league-one,2021-2022,-0.002375,-0.002130,S1 minus M10
eng-league-one,2022-2023,-0.002097,-0.001220,S1 minus M10
eng-league-one,2023-2024,0.000542,0.001058,S1 minus M10
eng-league-one,2024-2025,0.000081,0.001666,S1 minus M10
eng-league-one,2025-2026,-0.000053,0.001159,S1 minus M10
eng-league-two,2015-2016,-0.003285,-0.002564,S1 minus M10
eng-league-two,2016-2017,0.001205,0.002537,S1 minus M10
eng-league-two,2017-2018,0.000400,0.001062,S1 minus M10
eng-league-two,2018-2019,0.001843,0.001525,S1 minus M10
eng-league-two,2019-2020,-0.000803,-0.000092,S1 minus M10
eng-league-two,2020-2021,0.001679,0.001720,S1 minus M10
eng-league-two,2021-2022,0.000722,0.000016,S1 minus M10
eng-league-two,2022-2023,-0.000966,0.000856,S1 minus M10
eng-league-two,2023-2024,0.000385,0.001216,S1 minus M10
eng-league-two,2024-2025,0.001161,0.001545,S1 minus M10
eng-league-two,2025-2026,-0.000378,0.000340,S1 minus M10
eng-premier-league,2015-2016,-0.001158,-0.000312,S1 minus M10
eng-premier-league,2016-2017,-0.000215,-0.000110,S1 minus M10
eng-premier-league,2017-2018,-0.001717,-0.001642,S1 minus M10
eng-premier-league,2018-2019,-0.001087,0.000307,S1 minus M10
eng-premier-league,2019-2020,0.002379,0.002783,S1 minus M10
eng-premier-league,2020-2021,0.001752,0.000969,S1 minus M10
eng-premier-league,2021-2022,0.002152,0.000483,S1 minus M10
eng-premier-league,2022-2023,-0.002268,-0.001782,S1 minus M10
eng-premier-league,2023-2024,0.002628,0.001691,S1 minus M10
eng-premier-league,2024-2025,-0.000561,0.000957,S1 minus M10
eng-premier-league,2025-2026,0.000986,0.002514,S1 minus M10
eng-championship,2015-2016,-0.000269,-0.000119,S2 minus M10
eng-championship,2016-2017,-0.000751,-0.000570,S2 minus M10
eng-championship,2017-2018,0.000171,-0.000141,S2 minus M10
eng-championship,2018-2019,-0.000342,-0.000518,S2 minus M10
eng-championship,2019-2020,-0.000074,0.000643,S2 minus M10
eng-championship,2020-2021,0.000620,0.000817,S2 minus M10
eng-championship,2021-2022,-0.000553,-0.000310,S2 minus M10
eng-championship,2022-2023,0.000135,0.000471,S2 minus M10
eng-championship,2023-2024,0.000231,0.000042,S2 minus M10
eng-championship,2024-2025,0.000137,0.000160,S2 minus M10
eng-championship,2025-2026,-0.000559,-0.000663,S2 minus M10
eng-league-one,2015-2016,0.000134,0.000091,S2 minus M10
eng-league-one,2016-2017,0.000536,0.000375,S2 minus M10
eng-league-one,2017-2018,-0.000144,-0.000246,S2 minus M10
eng-league-one,2018-2019,-0.000004,-0.000015,S2 minus M10
