horizon_matches,clubs,rows,quality_change_per_residual,naive_se,share_of_residual_closed
1,all,7460,0.0069881,0.00048642,0.02375
1,entrants,1119,0.0094455,0.0014632,0.032102
1,continuing,6341,0.006707,0.00051592,0.022795
5,all,6600,0.015836,0.0012043,0.05382
5,entrants,990,0.022924,0.0035369,0.077912
5,continuing,5610,0.014947,0.0012855,0.0508
10,all,5600,0.026088,0.0018274,0.088665
10,entrants,840,0.033543,0.0050233,0.114
10,continuing,4760,0.025238,0.0019795,0.085776
19,all,3800,0.040126,0.0028974,0.13638
19,entrants,570,0.048543,0.0074282,0.16498
19,continuing,3230,0.039009,0.0031771,0.13258
