season_id,club,effect,quality,entrant,matches
2016-2017,arsenal,0.28102,0.26118,False,38
2016-2017,bournemouth,0.026929,-0.097649,False,38
2016-2017,burnley,-0.20601,-0.18072,True,38
2016-2017,chelsea,0.4657,0.27626,False,38
2016-2017,crystal-palace,-0.084657,-0.041703,False,38
2016-2017,everton,0.083827,0.062631,False,38
2016-2017,hull-city,0.044461,-0.24679,True,38
2016-2017,leicester-city,-0.2727,0.083367,False,38
2016-2017,liverpool,0.31861,0.27192,False,38
2016-2017,manchester-city,0.36362,0.34396,False,38
2016-2017,manchester-united,0.44502,0.20237,False,38
2016-2017,middlesbrough,-0.066197,-0.16564,True,38
2016-2017,southampton,-0.13106,0.13447,False,38
2016-2017,stoke-city,-0.1685,-0.052865,False,38
2016-2017,sunderland,-0.48363,-0.13879,False,38
2016-2017,swansea-city,0.013324,-0.14482,False,38
2016-2017,tottenham-hotspur,0.11214,0.29013,False,38
2016-2017,watford,-0.2491,-0.10028,False,38
2016-2017,west-bromwich-albion,-0.30375,-0.045261,False,38
2016-2017,west-ham-united,-0.18904,-0.023035,False,38
2017-2018,arsenal,0.20641,0.22133,False,38
2017-2018,bournemouth,-0.035549,-0.11941,False,38
2017-2018,brighton-hove-albion,-0.08822,-0.15995,True,38
2017-2018,burnley,-0.13446,-0.13058,False,38
2017-2018,chelsea,0.34121,0.29859,False,38
2017-2018,crystal-palace,-0.25307,-0.011756,False,38
2017-2018,everton,-0.18743,-0.0087087,False,38
2017-2018,huddersfield-town,-0.19176,-0.20262,True,38
2017-2018,leicester-city,-0.16501,0.029126,False,38
2017-2018,liverpool,0.28485,0.31314,False,38
2017-2018,manchester-city,0.20197,0.52944,False,38
2017-2018,manchester-united,0.54381,0.25277,False,38
2017-2018,newcastle-united,0.030361,-0.12642,True,38
2017-2018,southampton,0.014742,0.017392,False,38
2017-2018,stoke-city,-0.22691,-0.095099,False,38
2017-2018,swansea-city,-0.10842,-0.19377,False,38
2017-2018,tottenham-hotspur,0.19248,0.3613,False,38
2017-2018,watford,-0.13356,-0.080386,False,38
2017-2018,west-bromwich-albion,-0.23806,-0.087132,False,38
2017-2018,west-ham-united,-0.053367,-0.094571,False,38
2018-2019,arsenal,0.20511,0.15367,False,38
2018-2019,bournemouth,-0.1449,-0.057825,False,38
2018-2019,brighton-hove-albion,-0.15702,-0.14575,False,38
2018-2019,burnley,-0.21898,-0.17999,False,38
2018-2019,cardiff-city,-0.30182,-0.20009,True,38
2018-2019,chelsea,0.34852,0.25907,False,38
2018-2019,crystal-palace,-0.27998,0.02041,False,38
2018-2019,everton,0.13937,-0.0097074,False,38
2018-2019,fulham,-0.020186,-0.211,True,38
2018-2019,huddersfield-town,-0.24643,-0.25741,False,38
2018-2019,leicester-city,-0.11062,0.027934,False,38
2018-2019,liverpool,0.36213,0.40843,False,38
2018-2019,manchester-city,0.34537,0.54997,False,38
2018-2019,manchester-united,0.34385,0.15136,False,38
2018-2019,newcastle-united,-0.16758,-0.1102,False,38
2018-2019,southampton,-0.19659,-0.041342,False,38
2018-2019,tottenham-hotspur,0.1078,0.24375,False,38
2018-2019,watford,-0.16244,-0.017216,False,38
2018-2019,west-ham-united,0.057307,-0.10947,False,38
2018-2019,wolverhampton-wanderers,0.097095,-0.025683,True,38
2019-2020,arsenal,0.29479,0.043546,False,38
2019-2020,aston-villa,-0.029946,-0.17844,True,38
2019-2020,bournemouth,-0.23435,-0.10083,False,38
2019-2020,brighton-hove-albion,0.027232,-0.11564,False,38
2019-2020,burnley,-0.32741,-0.067428,False,38
2019-2020,chelsea,0.16508,0.23754,False,38
2019-2020,crystal-palace,-0.3309,-0.077724,False,38
2019-2020,everton,-0.13189,0.069509,False,38
2019-2020,leicester-city,0.12199,0.1187,False,38
2019-2020,liverpool,0.30096,0.38924,False,38
2019-2020,manchester-city,0.30977,0.51263,False,38
2019-2020,manchester-united,0.13715,0.19233,False,38
2019-2020,newcastle-united,-0.24194,-0.16794,False,38
2019-2020,norwich-city,-0.1966,-0.19709,True,38
2019-2020,sheffield-united,-0.026504,-0.085801,True,38
2019-2020,southampton,-0.14627,-0.03983,False,38
2019-2020,tottenham-hotspur,0.35705,0.074232,False,38
2019-2020,watford,-0.031403,-0.10203,False,38
2019-2020,west-ham-united,0.045903,-0.13975,False,38
2019-2020,wolverhampton-wanderers,-0.062693,0.085233,False,38
2020-2021,arsenal,0.23037,0.065249,False,38
2020-2021,aston-villa,-0.13204,-0.00018358,False,38
2020-2021,brighton-hove-albion,-0.088463,-0.014113,False,38
2020-2021,burnley,-0.36864,-0.12056,False,38
2020-2021,chelsea,0.1508,0.2743,False,38
2020-2021,crystal-palace,-0.14047,-0.16173,False,38
2020-2021,everton,0.042589,0.014245,False,38
2020-2021,fulham,-0.012871,-0.19386,True,38
2020-2021,leeds-united,0.32144,-0.12774,True,38
2020-2021,leicester-city,-0.011089,0.118,False,38
2020-2021,liverpool,0.4178,0.25825,False,38
2020-2021,manchester-city,0.25354,0.46336,False,38
2020-2021,manchester-united,0.10007,0.22002,False,38
2020-2021,newcastle-united,-0.26472,-0.16817,False,38
2020-2021,sheffield-united,-0.35889,-0.163,False,38
2020-2021,southampton,-0.14541,-0.01914,False,38
2020-2021,tottenham-hotspur,0.34898,0.060618,False,38
2020-2021,west-bromwich-albion,-0.026324,-0.29123,True,38
2020-2021,west-ham-united,-0.11573,0.018519,False,38
2020-2021,wolverhampton-wanderers,-0.20094,0.0267,False,38
2021-2022,arsenal,0.22931,0.093145,False,38
2021-2022,aston-villa,0.034762,-0.047517,False,38
2021-2022,brentford,-0.33895,-0.045195,True,38
2021-2022,brighton-hove-albion,-0.17039,0.025533,False,38
2021-2022,burnley,-0.20376,-0.14943,False,38
2021-2022,chelsea,0.25081,0.31449,False,38
2021-2022,crystal-palace,-0.18177,-0.055909,False,38
2021-2022,everton,-0.10295,-0.057984,False,38
2021-2022,leeds-united,0.00022567,-0.10383,False,38
2021-2022,leicester-city,-0.11487,0.0042234,False,38
2021-2022,liverpool,0.30768,0.37453,False,38
2021-2022,manchester-city,0.34783,0.49539,False,38
2021-2022,manchester-united,0.32627,0.12267,False,38
2021-2022,newcastle-united,-0.039497,-0.17538,False,38
2021-2022,norwich-city,-0.194,-0.30394,True,38
2021-2022,southampton,-0.055487,-0.072485,False,38
2021-2022,tottenham-hotspur,0.25325,0.075482,False,38
2021-2022,watford,-0.16765,-0.22518,True,38
2021-2022,west-ham-united,-0.10735,0.069536,False,38
2021-2022,wolverhampton-wanderers,-0.073454,-0.063212,False,38
2022-2023,arsenal,0.26577,0.25635,False,38
2022-2023,aston-villa,0.033609,-0.033796,False,38
2022-2023,bournemouth,-0.21513,-0.22424,True,38
2022-2023,brentford,-0.33829,0.040186,False,38
2022-2023,brighton-hove-albion,-0.088768,0.15508,False,38
2022-2023,chelsea,0.16361,0.14903,False,38
2022-2023,crystal-palace,-0.23435,-0.038876,False,38
2022-2023,everton,0.0030717,-0.1431,False,38
2022-2023,fulham,-0.056542,-0.12359,True,38
2022-2023,leeds-united,0.010034,-0.10583,False,38
2022-2023,leicester-city,-0.019852,-0.083941,False,38
2022-2023,liverpool,0.16675,0.29514,False,38
2022-2023,manchester-city,0.20652,0.49398,False,38
2022-2023,manchester-united,0.3164,0.11024,False,38
2022-2023,newcastle-united,0.21791,0.096096,False,38
