window,residual,terms,venue,scale,explained_share,mean_square_residual
2023-2026,resid,venue,0.032875,,0.0074008,0.14603
2023-2026,resid,venue + scale,-0.036641,0.20212,0.22301,0.14603
2023-2026,resid,venue + clubs,0.032875,,0.57468,0.14603
2023-2026,resid,venue + scale + clubs,0.057044,-0.070271,0.58204,0.14603
2023-2026,resid,venue + scale + club-seasons,0.0070526,0.075079,0.68591,0.14603
2023-2026,resid_ce,venue,0.026945,,0.0051702,0.14043
2023-2026,resid_ce,venue + scale,-0.036054,0.18007,0.18979,0.14043
2023-2026,resid_ce,venue + clubs,0.026945,,0.55318,0.14043
2023-2026,resid_ce,venue + scale + clubs,0.057943,-0.088598,0.56408,0.14043
2023-2026,resid_ce,venue + scale + club-seasons,0.0081557,0.053706,0.6721,0.14043
2023-2026,resid_m2,venue,0.065704,,0.027337,0.15792
2023-2026,resid_m2,venue + scale,0.052692,0.041825,0.038313,0.15792
2023-2026,resid_m2,venue + clubs,0.065704,,0.45671,0.15792
2023-2026,resid_m2,venue + scale + clubs,0.12909,-0.20374,0.49183,0.15792
2023-2026,resid_m2,venue + scale + club-seasons,0.093092,-0.088035,0.62223,0.15792
2016-2026,resid,venue,0.022619,,0.0034215,0.14952
2016-2026,resid,venue + scale,-0.055928,0.21876,0.2865,0.14952
2016-2026,resid,venue + clubs,0.022619,,0.55549,0.14952
2016-2026,resid,venue + scale + clubs,0.030204,-0.021126,0.55659,0.14952
2016-2026,resid,venue + scale + club-seasons,0.0038552,0.052259,0.71358,0.14952
2016-2026,resid_ce,venue,0.016682,,0.0019463,0.14297
2016-2026,resid_ce,venue + scale,-0.055451,0.19763,0.25212,0.14297
2016-2026,resid_ce,venue + clubs,0.016682,,0.53205,0.14297
2016-2026,resid_ce,venue + scale + clubs,0.030656,-0.038289,0.53523,0.14297
2016-2026,resid_ce,venue + scale + club-seasons,0.0044204,0.033594,0.69985,0.14297
2016-2026,resid_m2,venue,0.032396,,0.0060478,0.17354
2016-2026,resid_m2,venue + scale,0.010409,0.062952,0.031359,0.17354
2016-2026,resid_m2,venue + clubs,0.032396,,0.3274,0.17354
2016-2026,resid_m2,venue + scale + clubs,0.092455,-0.17196,0.37322,0.17354
2016-2026,resid_m2,venue + scale + club-seasons,0.087189,-0.15688,0.66459,0.17354
