quality_retention,slice,matches,log_loss,score_nll,ci_low,ci_high
0.95,2016-2017,380,-0.0031214,-0.0036133,,
0.95,2017-2018,380,-0.0016438,-0.0027321,,
0.95,2018-2019,380,-0.0043855,-0.0040408,,
0.95,2019-2020,380,-0.001452,-0.0021601,,
0.95,2020-2021,380,-5.725e-05,0.00060425,,
0.95,2021-2022,380,-0.0022439,-0.0036734,,
0.95,2022-2023,380,0.00052373,0.0010721,,
0.95,2023-2024,380,-0.0028188,-0.0021429,,
0.95,2024-2025,380,-0.0019412,-0.0010681,,
0.95,2025-2026,380,-0.0002545,0.00023231,,
0.95,2026-2027,40,-0.0027913,-0.0027028,,
0.95,all 2016-2026,3800,-0.0017395,-0.0017522,-0.0024506,-0.0010284
0.95,entrant matches,1020,-0.0020648,-0.0019783,-0.0034404,-0.00074046
0.95,other matches,2780,-0.0016201,-0.0016692,-0.0024223,-0.00082045
1.0,2016-2017,380,-0.0044955,-0.0051327,,
1.0,2017-2018,380,-0.0022924,-0.0037765,,
1.0,2018-2019,380,-0.0062813,-0.0055422,,
1.0,2019-2020,380,-0.0019375,-0.0028462,,
1.0,2020-2021,380,0.00011344,0.0011824,,
1.0,2021-2022,380,-0.003117,-0.0051249,,
1.0,2022-2023,380,0.00095045,0.0019198,,
1.0,2023-2024,380,-0.0039995,-0.0028751,,
1.0,2024-2025,380,-0.0027196,-0.0013011,,
1.0,2025-2026,380,-0.00023644,0.00056343,,
1.0,2026-2027,40,-0.0039969,-0.0037104,,
1.0,all 2016-2026,3800,-0.0024016,-0.0022933,-0.0034512,-0.0013404
1.0,entrant matches,1020,-0.0028343,-0.0025343,-0.0047805,-0.00078796
1.0,other matches,2780,-0.0022428,-0.0022049,-0.0034527,-0.00099067
