source,season,matches,optimal_stretch,in_sample_gain
m7,2016-2017,380,1.5495,0.013088
m7,2017-2018,380,1.3319,0.005608
m7,2018-2019,380,1.4271,0.0091568
m7,2019-2020,380,1.0969,0.00052571
m7,2020-2021,380,0.9034,0.00053461
m7,2021-2022,380,1.3553,0.0058509
m7,2022-2023,380,1.1945,0.0019099
m7,2023-2024,380,1.3742,0.0070577
m7,2024-2025,380,1.378,0.0061735
m7,2025-2026,380,1.1719,0.0011525
m7,2026-2027,40,1.2813,0.0025153
m7,all 2016-2026,3800,1.271,0.0036051
m7,2019-2026 average family,2660,1.202,0.0020102
ce,2016-2017,380,1.5249,0.01226
ce,2017-2018,380,1.3118,0.0050723
ce,2018-2019,380,1.4051,0.0084418
ce,2019-2020,380,1.0777,0.00034739
ce,2020-2021,380,0.88964,0.00071639
ce,2021-2022,380,1.3331,0.0052846
ce,2022-2023,380,1.173,0.0015546
ce,2023-2024,380,1.35,0.0063614
ce,2024-2025,380,1.3544,0.0055815
ce,2025-2026,380,1.152,0.00092856
ce,2026-2027,40,1.2492,0.0020569
ce,all 2016-2026,3800,1.25,0.003154
ce,2019-2026 average family,2660,1.1817,0.0016725
m2,2016-2017,380,1.5202,0.011678
m2,2017-2018,380,1.2044,0.0024415
m2,2018-2019,380,1.101,0.00077359
m2,2019-2020,380,0.97312,4.77e-05
m2,2020-2021,380,0.80472,0.0026871
m2,2021-2022,380,1.1303,0.0010168
m2,2022-2023,380,0.92415,0.00036842
m2,2023-2024,380,1.247,0.0035768
m2,2024-2025,380,1.0679,0.00026296
m2,2025-2026,380,1.1012,0.00043846
m2,2026-2027,40,1.5068,0.0087851
m2,all 2016-2026,3800,1.0923,0.0005099
m2,2019-2026 average family,2660,1.0273,4.4774e-05
mkt,2016-2017,380,1.2825,0.0052058
mkt,2017-2018,380,1.0298,6.9158e-05
mkt,2018-2019,380,1.0717,0.00041154
mkt,2019-2020,380,0.86381,0.0015535
mkt,2020-2021,380,0.77627,0.0041274
mkt,2021-2022,380,1.1345,0.0011995
mkt,2022-2023,380,1.0298,6.0845e-05
mkt,2023-2024,380,1.2013,0.0027162
mkt,2024-2025,380,1.0874,0.00048746
mkt,2025-2026,380,1.0003,4.88e-09
mkt,2026-2027,40,1.0812,0.00032254
mkt,all 2016-2026,3800,1.0411,0.00012131
mkt,2019-2026 average family,2660,1.0042,1.2595e-06
