residual,test_season,training_seasons,terms,matches,explained_share,corr
resid,2017-2018,1,venue + scale,380,0.3866,0.6325
resid,2017-2018,1,venue + clubs,380,0.5286,0.74106
resid,2017-2018,1,venue + scale + clubs,380,0.52699,0.73739
resid,2018-2019,1,venue + scale,380,0.48684,0.70059
resid,2018-2019,1,venue + clubs,380,0.49563,0.70687
resid,2018-2019,1,venue + scale + clubs,380,0.51419,0.71891
resid,2018-2019,2,venue + scale,380,0.48953,0.70059
resid,2018-2019,2,venue + clubs,380,0.56651,0.75488
resid,2018-2019,2,venue + scale + clubs,380,0.53399,0.73403
resid,2019-2020,1,venue + scale,380,0.30171,0.55645
resid,2019-2020,1,venue + clubs,380,0.37857,0.63293
resid,2019-2020,1,venue + scale + clubs,380,0.32983,0.60693
resid,2019-2020,2,venue + scale,380,0.30464,0.55645
resid,2019-2020,2,venue + clubs,380,0.36617,0.61999
resid,2019-2020,2,venue + scale + clubs,380,0.34793,0.60746
resid,2019-2020,3,venue + scale,380,0.30001,0.55645
resid,2019-2020,3,venue + clubs,380,0.29861,0.58291
resid,2019-2020,3,venue + scale + clubs,380,0.30542,0.5878
resid,2020-2021,1,venue + scale,380,0.21897,0.46709
resid,2020-2021,1,venue + clubs,380,0.47653,0.68979
resid,2020-2021,1,venue + scale + clubs,380,0.34173,0.60682
resid,2020-2021,2,venue + scale,380,0.21455,0.46709
resid,2020-2021,2,venue + clubs,380,0.45633,0.67621
resid,2020-2021,2,venue + scale + clubs,380,0.46914,0.68613
resid,2020-2021,3,venue + scale,380,0.21578,0.46709
resid,2020-2021,3,venue + clubs,380,0.34905,0.6036
resid,2020-2021,3,venue + scale + clubs,380,0.35878,0.61098
resid,2020-2021,4,venue + scale,380,0.21255,0.46709
resid,2020-2021,4,venue + clubs,380,0.31388,0.5858
resid,2020-2021,4,venue + scale + clubs,380,0.35423,0.61641
resid,2021-2022,1,venue + scale,380,0.30225,0.61187
resid,2021-2022,1,venue + clubs,380,0.22705,0.58712
resid,2021-2022,1,venue + scale + clubs,380,0.22639,0.59878
resid,2021-2022,2,venue + scale,380,0.29144,0.61187
resid,2021-2022,2,venue + clubs,380,0.29477,0.63238
resid,2021-2022,2,venue + scale + clubs,380,0.29871,0.6327
resid,2021-2022,3,venue + scale,380,0.29574,0.61187
resid,2021-2022,3,venue + clubs,380,0.38725,0.67721
resid,2021-2022,3,venue + scale + clubs,380,0.40843,0.68144
resid,2021-2022,5,venue + scale,380,0.30652,0.61187
resid,2021-2022,5,venue + clubs,380,0.49094,0.73003
resid,2021-2022,5,venue + scale + clubs,380,0.52314,0.73989
resid,2022-2023,1,venue + scale,380,0.16114,0.46045
resid,2022-2023,1,venue + clubs,380,0.33734,0.62284
resid,2022-2023,1,venue + scale + clubs,380,0.34123,0.62532
resid,2022-2023,2,venue + scale,380,0.19791,0.46045
resid,2022-2023,2,venue + clubs,380,0.20466,0.54055
resid,2022-2023,2,venue + scale + clubs,380,0.13532,0.50449
resid,2022-2023,3,venue + scale,380,0.18835,0.46045
resid,2022-2023,3,venue + clubs,380,0.20301,0.56081
resid,2022-2023,3,venue + scale + clubs,380,0.15689,0.53801
resid,2022-2023,6,venue + scale,380,0.1564,0.46045
resid,2022-2023,6,venue + clubs,380,0.33641,0.63166
resid,2022-2023,6,venue + scale + clubs,380,0.21424,0.57683
resid,2023-2024,1,venue + scale,380,0.24089,0.53497
resid,2023-2024,1,venue + clubs,380,0.28265,0.54908
resid,2023-2024,1,venue + scale + clubs,380,0.29715,0.56331
resid,2023-2024,2,venue + scale,380,0.23715,0.53497
resid,2023-2024,2,venue + clubs,380,0.43642,0.68146
resid,2023-2024,2,venue + scale + clubs,380,0.43707,0.68408
resid,2023-2024,3,venue + scale,380,0.26449,0.53497
resid,2023-2024,3,venue + clubs,380,0.54969,0.74673
resid,2023-2024,3,venue + scale + clubs,380,0.55087,0.74734
resid,2023-2024,7,venue + scale,380,0.28304,0.53497
resid,2023-2024,7,venue + clubs,380,0.59331,0.7731
resid,2023-2024,7,venue + scale + clubs,380,0.5834,0.76537
resid,2024-2025,1,venue + scale,380,0.21337,0.47554
resid,2024-2025,1,venue + clubs,380,0.071467,0.47441
resid,2024-2025,1,venue + scale + clubs,380,0.074602,0.48147
resid,2024-2025,2,venue + scale,380,0.23057,0.47554
resid,2024-2025,2,venue + clubs,380,0.29659,0.57197
resid,2024-2025,2,venue + scale + clubs,380,0.27757,0.56313
resid,2024-2025,3,venue + scale,380,0.22492,0.47554
resid,2024-2025,3,venue + clubs,380,0.31638,0.58908
resid,2024-2025,3,venue + scale + clubs,380,0.30011,0.58125
resid,2024-2025,8,venue + scale,380,0.2202,0.47554
