slice,matches,information_advantage,ci_low,ci_high,expected_if_market_right,expected_if_m7_right,outcome_position,share_of_total_advantage,m7_better_share
size: <5 pp,570,-0.0025048,-0.009969,0.0049721,0.003013,-0.0030541,0.09053,-0.094316,0.47193
size: 5-10 pp,411,0.012695,-0.0020465,0.026829,0.013654,-0.014374,0.96576,0.34466,0.34063
size: 10-15 pp,136,0.071006,0.031167,0.1124,0.035337,-0.037705,1.4883,0.63792,0.28676
size: 15+ pp,23,0.073538,-0.039607,0.19405,0.06916,-0.075861,1.0302,0.11173,0.30435
entrant: False,834,0.0088449,-0.0015197,0.019825,0.01293,-0.013677,0.84647,0.4873,0.40767
entrant: True,306,0.025364,0.011347,0.039148,0.0096158,-0.010179,1.7956,0.5127,0.37582
kind: favourite differs,100,0.0065604,-0.028079,0.040202,0.017797,-0.018346,0.68912,0.043338,0.36
kind: market less extreme,304,0.009274,-0.0021732,0.021536,0.0072907,-0.0072522,1.1364,0.18624,0.54934
kind: market more extreme,736,0.015846,0.0049985,0.026922,0.01322,-0.014242,1.0956,0.77042,0.34239
season_id: 2023-2024,380,0.024904,0.012196,0.039567,0.012803,-0.013629,1.4578,0.62516,0.33684
season_id: 2024-2025,380,0.00023617,-0.013215,0.016006,0.010552,-0.011132,0.52426,0.0059284,0.43947
season_id: 2025-2026,380,0.014696,0.001857,0.029099,0.012766,-0.013453,1.0736,0.36891,0.42105
all without the top 5% market-favouring matches,1083,-0.00039224,,,,,,,
