slice,matches,information_advantage,ci_low,ci_high,expected_if_market_right,expected_if_m7_right,outcome_position,share_of_total_advantage,m7_better_share
size: <5 pp,1920,0.0017171,-0.0014998,0.0049406,0.0033084,-0.0033628,0.76146,0.076904,0.43854
size: 5-10 pp,1404,0.0092042,0.00041941,0.017343,0.0136,-0.014396,0.843,0.30145,0.33689
size: 10-15 pp,407,0.04941,0.02515,0.074571,0.035451,-0.038238,1.1894,0.4691,0.31204
size: 15+ pp,69,0.09477,-0.00023415,0.17887,0.073064,-0.080394,1.1414,0.15254,0.27536
entrant: False,2780,0.011755,0.0061375,0.017515,0.012315,-0.013117,0.97796,0.76229,0.37986
entrant: True,1020,0.0099905,0.0015208,0.018307,0.01047,-0.011093,0.97777,0.23771,0.39706
kind: favourite differs,302,0.021719,0.00094452,0.04272,0.016903,-0.017404,1.1404,0.153,0.32781
kind: market less extreme,913,0.0021956,-0.0055512,0.0098337,0.0071717,-0.0071307,0.65208,0.046762,0.56517
kind: market more extreme,2585,0.013271,0.0079014,0.019237,0.012868,-0.013931,1.015,0.80023,0.32727
season_id: 2016-2017,380,0.028495,0.012886,0.04626,0.016531,-0.017782,1.3487,0.25259,0.33947
season_id: 2017-2018,380,0.010333,-0.0046489,0.025996,0.010785,-0.01158,0.97978,0.091595,0.37632
season_id: 2018-2019,380,0.0036299,-0.0088657,0.01934,0.010774,-0.011532,0.67972,0.032176,0.38158
season_id: 2019-2020,380,0.0033454,-0.0036498,0.0086938,0.011774,-0.012519,0.65305,0.029655,0.4
season_id: 2020-2021,380,0.0049252,-0.0032146,0.013616,0.012599,-0.013297,0.70366,0.043659,0.39474
season_id: 2021-2022,380,0.016046,0.00032609,0.031209,0.010616,-0.011324,1.2475,0.14224,0.35263
season_id: 2022-2023,380,0.0062006,-0.0069172,0.01873,0.0089996,-0.0094878,0.8486,0.054965,0.40263
season_id: 2023-2024,380,0.024904,0.012146,0.040701,0.012803,-0.013629,1.4578,0.22076,0.33684
season_id: 2024-2025,380,0.00023617,-0.013333,0.015824,0.010552,-0.011132,0.52426,0.0020935,0.43947
season_id: 2025-2026,380,0.014696,0.0017234,0.028673,0.012766,-0.013453,1.0736,0.13027,0.42105
all without the top 5% market-favouring matches,3610,-0.0022461,,,,,,,
