comparison,season,matches,slope,intercept,inverse_reverse_slope,sd_ratio
market on m7,2016-2017,380,1.2789,-0.093504,1.4302,1.3525
market on m7,2017-2018,380,1.236,-0.087602,1.3035,1.2693
market on m7,2018-2019,380,1.2584,-0.10482,1.3134,1.2856
market on m7,2019-2020,380,1.2237,-0.10843,1.3149,1.2685
market on m7,2020-2021,380,1.205,-0.087861,1.33,1.266
market on m7,2021-2022,380,1.2256,0.025822,1.295,1.2599
market on m7,2022-2023,380,1.1566,-0.0047379,1.2355,1.1954
market on m7,2023-2024,380,1.2242,-0.086252,1.3266,1.2744
market on m7,2024-2025,380,1.1869,-0.040322,1.2875,1.2362
market on m7,2025-2026,380,1.196,0.015556,1.3745,1.2822
market on m7,2026-2027,40,1.3133,-0.12323,1.5068,1.4067
market on m7,all 2016-2026,3800,1.2188,-0.055928,1.3177,1.2673
market on m7,2019-2026 average family,2660,1.2015,-0.040396,1.306,1.2527
market on m7,2023-2026,1140,1.2021,-0.036641,1.3246,1.2619
market on ce,2016-2017,380,1.2584,-0.093084,1.4076,1.3309
market on ce,2017-2018,380,1.2161,-0.087137,1.2827,1.249
market on ce,2018-2019,380,1.2372,-0.10434,1.2915,1.2641
market on ce,2019-2020,380,1.2011,-0.10781,1.2909,1.2452
market on ce,2020-2021,380,1.1858,-0.087596,1.3091,1.2459
market on ce,2021-2022,380,1.2048,0.026075,1.2729,1.2383
market on ce,2022-2023,380,1.1354,-0.0042052,1.2128,1.1735
market on ce,2023-2024,380,1.2011,-0.085556,1.302,1.2505
market on ce,2024-2025,380,1.1654,-0.040014,1.2643,1.2138
market on ce,2025-2026,380,1.1747,0.016267,1.3507,1.2596
market on ce,2026-2027,40,1.2811,-0.12253,1.4702,1.3724
market on ce,all 2016-2026,3800,1.1976,-0.055451,1.2951,1.2454
market on ce,2019-2026 average family,2660,1.1801,-0.039939,1.283,1.2305
market on ce,2023-2026,1140,1.1801,-0.036054,1.3007,1.2389
market on m2,2016-2017,380,1.2985,-0.14283,1.4568,1.3754
market on m2,2017-2018,380,1.1569,-0.081778,1.2789,1.2163
market on m2,2018-2019,380,1.0289,-0.031606,1.1077,1.0676
market on m2,2019-2020,380,1.0436,-0.029954,1.2106,1.124
market on m2,2020-2021,380,1.0216,-0.027612,1.1625,1.0898
market on m2,2021-2022,380,1.038,0.12958,1.172,1.1029
market on m2,2022-2023,380,1.0261,0.053123,1.166,1.0938
market on m2,2023-2024,380,1.0399,-0.002969,1.1542,1.0955
market on m2,2024-2025,380,1.0132,0.085705,1.1513,1.08
market on m2,2025-2026,380,1.0989,0.069399,1.3072,1.1985
market on m2,2026-2027,40,1.005,0.012921,1.6408,1.2841
market on m2,all 2016-2026,3800,1.063,0.010409,1.2056,1.132
market on m2,2019-2026 average family,2660,1.0347,0.041112,1.1831,1.1064
market on m2,2023-2026,1140,1.0418,0.052692,1.189,1.113
closing on m7,2019-2020,380,1.225,-0.11126,1.3265,1.2747
closing on m7,2020-2021,380,1.1848,-0.11284,1.3424,1.2612
closing on m7,2021-2022,380,1.2118,0.03232,1.3036,1.2569
closing on m7,2022-2023,380,1.1394,-0.0080106,1.2357,1.1866
closing on m7,2023-2024,380,1.2282,-0.069839,1.3536,1.2894
closing on m7,2024-2025,380,1.1989,-0.034976,1.3175,1.2568
closing on m7,2025-2026,380,1.1871,-0.0068485,1.3753,1.2777
closing on m7,2026-2027,40,1.2789,-0.089338,1.514,1.3915
closing on m7,all 2016-2026,2660,1.196,-0.043803,1.3202,1.2566
closing on m7,2019-2026 average family,2660,1.196,-0.043803,1.3202,1.2566
closing on m7,2023-2026,1140,1.2066,-0.037316,1.3457,1.2742
