slice,matches,m7_favourite,certainty_equivalent_favourite,market_favourite,uncertainty_share_of_gap,mean_abs_uncertainty_dir,mean_abs_residual_dir,difference_state_sd,log_loss_ce_minus_m7,share_of_mean_square_residual
M7 favourite 0.00-0.45,343,0.41236,0.41118,0.40791,0.2657,,,,,
M7 favourite 0.45-0.55,410,0.49681,0.49674,0.50692,-0.0063596,,,,,
M7 favourite 0.55-0.65,229,0.59274,0.59408,0.6233,0.043699,,,,,
M7 favourite 0.65-1.00,158,0.71386,0.71693,0.74851,0.088641,,,,,
phase 0,30,,,,,0.018132,0.34186,0.23759,-0.0039866,
phase 1-4,121,,,,,0.015931,0.33929,0.22848,-0.0020264,
phase 5-9,149,,,,,0.015333,0.28454,0.21831,-0.00055216,
phase 10-19,303,,,,,0.013746,0.29882,0.20577,-0.00018716,
phase 20+,537,,,,,0.011788,0.30677,0.19553,-0.00098399,
entrant False,834,,,,,0.010712,0.31615,0.20255,-0.00050011,
entrant True,306,,,,,0.020647,0.2788,0.2148,-0.0020101,
all 2023-2026,1140,,,,,0.013379,0.30613,0.20584,-0.00090542,0.038367
